WIND SPEED (m/s), THRUST (N), TORQUE (NM), PRODUCED POWER (W), C_P
3,54887.2,278723,100208,0.485959
3.44898,72742.1,369369,152672,0.487247
3.89796,93153.9,472912,220915,0.4884
4.34694,116071,589076,306875,0.489186
4.79592,141530,717994,412666,0.489831
5.2449,169526,859616,540316,0.490343
5.69388,200055,1.01386e+06,691819,0.490717
6.14286,233138,1.18089e+06,869333,0.491064
6.59184,268769,1.36068e+06,1.0749e+06,0.491375
7.04082,306893,1.55275e+06,1.31018e+06,0.4915
7.4898,347507,1.75724e+06,1.57728e+06,0.491543
7.93878,390624,1.97402e+06,1.87807e+06,0.491489
8.38776,436295,2.20339e+06,2.21484e+06,0.491438
8.83673,484556,2.44517e+06,2.58945e+06,0.491354
9.28571,535410,2.69955e+06,3.00409e+06,0.491282
9.73469,588820,2.96612e+06,3.46033e+06,0.49115
10.1837,644851,3.24539e+06,3.96075e+06,0.491052
10.6327,703504,3.53707e+06,4.50704e+06,0.490941
11.0816,764766,3.84104e+06,5.10104e+06,0.490807
11.5306,828686,4.15747e+06,5.74497e+06,0.490675
11.9796,895238,4.486e+06,6.44033e+06,0.490507
12.4286,964468,4.82695e+06,7.18952e+06,0.490342
12.8776,1.0364e+06,5.18016e+06,7.99434e+06,0.490169
13.3265,1.11102e+06,5.54524e+06,8.85613e+06,0.489955
13.7755,1.18833e+06,5.9225e+06,9.7773e+06,0.489733
14.2245,1.26836e+06,6.31182e+06,1.07596e+07,0.489498
14.6735,1.35117e+06,6.71328e+06,1.18052e+07,0.489259
15.1224,1.43669e+06,7.12649e+06,1.29153e+07,0.488991
15.5714,1.52499e+06,7.55131e+06,1.40915e+07,0.488691
16.0204,1.61609e+06,7.98824e+06,1.53367e+07,0.488397
16.4694,1.70998e+06,8.43644e+06,1.66511e+07,0.488061
16.9184,1.80677e+06,8.89608e+06,1.8037e+07,0.487698
17.3673,1.90631e+06,9.36694e+06,1.94956e+07,0.487304
17.8163,2.00869e+06,9.84888e+06,2.10287e+07,0.486878
18.2653,2.11403e+06,1.03415e+07,2.26368e+07,0.486405
18.7143,2.22208e+06,1.08447e+07,2.43219e+07,0.485894
19.1633,2.33309e+06,1.13578e+07,2.60838e+07,0.485317
19.6122,2.44699e+06,1.18809e+07,2.79244e+07,0.484691
20.0612,2.5638e+06,1.24136e+07,2.98443e+07,0.484007
20.5102,2.68355e+06,1.29562e+07,3.1846e+07,0.483289
20.9592,2.80622e+06,1.3507e+07,3.39266e+07,0.482481
21.4082,2.93182e+06,1.40659e+07,3.60873e+07,0.481592
21.8571,3.06033e+06,1.46333e+07,3.83302e+07,0.480644
22.3061,3.19165e+06,1.52074e+07,4.06523e+07,0.479597
22.7551,3.32585e+06,1.57874e+07,4.30523e+07,0.478435
23.2041,3.46277e+06,1.63724e+07,4.55284e+07,0.477147
23.6531,3.60248e+06,1.69606e+07,4.80766e+07,0.475702
24.102,3.74459e+06,1.75476e+07,5.06849e+07,0.474002
24.551,3.8887e+06,1.81273e+07,5.33347e+07,0.471915
25,4.03365e+06,1.86868e+07,5.59862e+07,0.469163
