# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:14:05
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Torque Coefficient Cm [-]	Tip Speed Ratio [-]	Torque Coefficient Cm [-]
1.0000000e-10	4.1828388e-03	1.0000000e-10	4.1828388e-03
1.0000000e-01	4.4433782e-03	END	END
2.0000000e-01	4.5149107e-03	END	END
3.0000001e-01	4.6045212e-03	END	END
4.0000001e-01	4.7059488e-03	END	END
5.0000000e-01	4.8183533e-03	END	END
6.0000002e-01	4.9429960e-03	END	END
6.9999999e-01	5.0765453e-03	END	END
8.0000001e-01	5.2214810e-03	END	END
8.9999998e-01	5.3807166e-03	END	END
1.0000000e+00	5.5485927e-03	END	END
1.1000000e+00	5.7237959e-03	END	END
1.2000000e+00	5.9104459e-03	END	END
1.3000000e+00	6.1104815e-03	END	END
1.4000000e+00	6.3428637e-03	END	END
1.5000000e+00	6.6992156e-03	END	END
1.6000000e+00	7.2586494e-03	END	END
1.7000000e+00	8.0828536e-03	END	END
1.8000000e+00	9.1916341e-03	END	END
1.9000000e+00	1.0534002e-02	END	END
2.0000000e+00	1.2067967e-02	END	END
2.0999999e+00	1.3797230e-02	END	END
2.2000000e+00	1.5762536e-02	END	END
2.3000000e+00	1.7961528e-02	END	END
2.4000001e+00	2.0327291e-02	END	END
2.5000000e+00	2.2782942e-02	END	END
2.5999999e+00	2.5281359e-02	END	END
2.7000000e+00	2.7763588e-02	END	END
2.8000000e+00	3.0157629e-02	END	END
2.9000001e+00	3.2490455e-02	END	END
3.0000000e+00	3.4781016e-02	END	END
3.0999999e+00	3.6962073e-02	END	END
3.2000000e+00	3.9023254e-02	END	END
3.3000000e+00	4.1027810e-02	END	END
3.4000001e+00	4.3036133e-02	END	END
3.5000000e+00	4.5052558e-02	END	END
3.5999999e+00	4.7029573e-02	END	END
3.7000000e+00	4.8937924e-02	END	END
3.8000000e+00	5.0811797e-02	END	END
3.9000001e+00	5.2651145e-02	END	END
4.0000000e+00	5.4470167e-02	END	END
4.0999999e+00	5.6267068e-02	END	END
4.1999998e+00	5.8050100e-02	END	END
4.3000002e+00	5.9814680e-02	END	END
4.4000001e+00	6.1509743e-02	END	END
4.5000000e+00	6.3124865e-02	END	END
4.5999999e+00	6.4623572e-02	END	END
4.6999998e+00	6.5979011e-02	END	END
4.8000002e+00	6.7211039e-02	END	END
4.9000001e+00	6.8411216e-02	END	END
5.0000000e+00	6.9712721e-02	END	END
5.0999999e+00	7.1158998e-02	END	END
5.1999998e+00	7.2426580e-02	END	END
5.3000002e+00	7.3327385e-02	END	END
5.4000001e+00	7.3816285e-02	END	END
5.5000000e+00	7.3952153e-02	END	END
5.5999999e+00	7.3867589e-02	END	END
5.6999998e+00	7.3647730e-02	END	END
5.8000002e+00	7.3343247e-02	END	END
5.9000001e+00	7.2984070e-02	END	END
6.0000000e+00	7.2586104e-02	END	END
6.0999999e+00	7.2150640e-02	END	END
6.1999998e+00	7.1678430e-02	END	END
6.3000002e+00	7.1185052e-02	END	END
6.4000001e+00	7.0676319e-02	END	END
6.5000000e+00	7.0155025e-02	END	END
6.5999999e+00	6.9615811e-02	END	END
6.6999998e+00	6.9055632e-02	END	END
6.8000002e+00	6.8471521e-02	END	END
6.9000001e+00	6.7857943e-02	END	END
7.0000000e+00	6.7156315e-02	END	END
7.0999999e+00	6.6411264e-02	END	END
7.1999998e+00	6.5656736e-02	END	END
7.3000002e+00	6.4894371e-02	END	END
7.4000001e+00	6.4122334e-02	END	END
7.5000000e+00	6.3345708e-02	END	END
7.5999999e+00	6.2564023e-02	END	END
7.6999998e+00	6.1769314e-02	END	END
7.8000002e+00	6.0968500e-02	END	END
7.9000001e+00	6.0168024e-02	END	END
8.0000000e+00	5.9367448e-02	END	END
8.1000004e+00	5.8566317e-02	END	END
8.1999998e+00	5.7767067e-02	END	END
8.3000002e+00	5.6970727e-02	END	END
8.3999996e+00	5.6178108e-02	END	END
8.5000000e+00	5.5388272e-02	END	END
8.6000004e+00	5.4600939e-02	END	END
8.6999998e+00	5.3817391e-02	END	END
8.8000002e+00	5.3037435e-02	END	END
8.8999996e+00	5.2261613e-02	END	END
9.0000000e+00	5.1490750e-02	END	END
9.1000004e+00	5.0726350e-02	END	END
9.1999998e+00	4.9968984e-02	END	END
9.3000002e+00	4.9218547e-02	END	END
9.3999996e+00	4.8476353e-02	END	END
9.5000000e+00	4.7742296e-02	END	END
9.6000004e+00	4.7016446e-02	END	END
9.6999998e+00	4.6299092e-02	END	END
9.8000002e+00	4.5591466e-02	END	END
9.8999996e+00	4.4891439e-02	END	END
1.0000000e+01	4.4199269e-02	END	END
1.0100000e+01	4.3514065e-02	END	END
1.0200000e+01	4.2835657e-02	END	END
1.0300000e+01	4.2163674e-02	END	END
1.0400000e+01	4.1496865e-02	END	END
1.0500000e+01	4.0835917e-02	END	END
1.0600000e+01	4.0180620e-02	END	END
1.0700000e+01	3.9530192e-02	END	END
1.0800000e+01	3.8884450e-02	END	END
1.0900000e+01	3.8243409e-02	END	END
1.1000000e+01	3.7607491e-02	END	END
1.1100000e+01	3.6976464e-02	END	END
1.1200000e+01	3.6349684e-02	END	END
1.1300000e+01	3.5727251e-02	END	END
1.1400000e+01	3.5108957e-02	END	END
1.1500000e+01	3.4494523e-02	END	END
1.1600000e+01	3.3882685e-02	END	END
1.1700000e+01	3.3274021e-02	END	END
1.1800000e+01	3.2669045e-02	END	END
1.1900000e+01	3.2067604e-02	END	END
1.2000000e+01	3.1469394e-02	END	END
1.2100000e+01	3.0874217e-02	END	END
1.2200000e+01	3.0282374e-02	END	END
1.2300000e+01	2.9693674e-02	END	END
1.2400000e+01	2.9107885e-02	END	END
1.2500000e+01	2.8525541e-02	END	END
1.2600000e+01	2.7947096e-02	END	END
1.2700000e+01	2.7371481e-02	END	END
1.2800000e+01	2.6798436e-02	END	END
1.2900000e+01	2.6228007e-02	END	END
1.3000000e+01	2.5660114e-02	END	END
1.3100000e+01	2.5094841e-02	END	END
1.3200000e+01	2.4531931e-02	END	END
1.3300000e+01	2.3971021e-02	END	END
1.3400000e+01	2.3412306e-02	END	END
1.3500000e+01	2.2855893e-02	END	END
1.3600000e+01	2.2301130e-02	END	END
