# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:32
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power Coefficient [-]	Windspeed [m/s]	Power Coefficient [-]
3.0000000e+00	-1.4549036e+00	3.0000000e+00	-1.4549036e+00
3.0999999e+00	-1.2611115e+00	END	END
3.2000000e+00	-1.0860587e+00	END	END
3.3000000e+00	-9.2958516e-01	END	END
3.4000001e+00	-7.9051566e-01	END	END
3.5000000e+00	-6.6790295e-01	END	END
3.5999999e+00	-5.5923736e-01	END	END
3.7000000e+00	-4.6271753e-01	END	END
3.8000000e+00	-3.7834048e-01	END	END
3.9000001e+00	-3.0454090e-01	END	END
4.0000000e+00	-2.4003886e-01	END	END
4.0999999e+00	-1.8183671e-01	END	END
4.1999998e+00	-1.2934820e-01	END	END
4.3000002e+00	-8.1783347e-02	END	END
4.4000001e+00	-3.8593091e-02	END	END
4.5000000e+00	6.3222426e-04	END	END
4.5999999e+00	3.6410343e-02	END	END
4.6999998e+00	6.9144681e-02	END	END
4.8000002e+00	9.9094696e-02	END	END
4.9000001e+00	1.2656891e-01	END	END
5.0000000e+00	1.5178384e-01	END	END
5.0999999e+00	1.7498691e-01	END	END
5.1999998e+00	1.9634271e-01	END	END
5.3000002e+00	2.1602547e-01	END	END
5.4000001e+00	2.3418230e-01	END	END
5.5000000e+00	2.5095463e-01	END	END
5.5999999e+00	2.6652223e-01	END	END
5.6999998e+00	2.8097424e-01	END	END
5.8000002e+00	2.9437009e-01	END	END
5.9000001e+00	3.0684194e-01	END	END
6.0000000e+00	3.1846574e-01	END	END
6.0999999e+00	3.2929945e-01	END	END
6.1999998e+00	3.3940682e-01	END	END
6.3000002e+00	3.4885061e-01	END	END
6.4000001e+00	3.5768089e-01	END	END
6.5000000e+00	3.6595550e-01	END	END
6.5999999e+00	3.7370226e-01	END	END
6.6999998e+00	3.8095555e-01	END	END
6.8000002e+00	3.8774490e-01	END	END
6.9000001e+00	3.9409119e-01	END	END
7.0000000e+00	4.0002328e-01	END	END
7.0999999e+00	4.0557575e-01	END	END
7.1999998e+00	4.1078711e-01	END	END
7.3000002e+00	4.1568089e-01	END	END
7.4000001e+00	4.2027920e-01	END	END
7.5000000e+00	4.2459321e-01	END	END
7.5999999e+00	4.2863861e-01	END	END
7.6999998e+00	4.3244565e-01	END	END
7.8000002e+00	4.3601048e-01	END	END
7.9000001e+00	4.3936446e-01	END	END
8.0000000e+00	4.4251603e-01	END	END
8.1000004e+00	4.4548613e-01	END	END
8.1999998e+00	4.4829124e-01	END	END
8.3000002e+00	4.5094505e-01	END	END
8.3999996e+00	4.5345923e-01	END	END
8.5000000e+00	4.5583138e-01	END	END
8.6000004e+00	4.5806566e-01	END	END
8.6999998e+00	4.6015993e-01	END	END
8.8000002e+00	4.6208939e-01	END	END
8.8999996e+00	4.6389088e-01	END	END
9.0000000e+00	4.6555188e-01	END	END
9.1000004e+00	4.6708432e-01	END	END
9.1999998e+00	4.6847850e-01	END	END
9.3000002e+00	4.6972808e-01	END	END
9.3999996e+00	4.7083926e-01	END	END
9.5000000e+00	4.7181910e-01	END	END
9.6000004e+00	4.7267878e-01	END	END
9.6999998e+00	4.7341901e-01	END	END
9.8000002e+00	4.7404125e-01	END	END
9.8999996e+00	4.7455132e-01	END	END
1.0000000e+01	4.7496086e-01	END	END
1.0100000e+01	4.7526553e-01	END	END
