# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:13:34
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Thrust Coefficient Ct [-]	Tip Speed Ratio [-]	Thrust Coefficient Ct [-]
1.0000000e-10	6.1828222e-02	1.0000000e-10	6.1828222e-02
1.0000000e-01	6.5800771e-02	END	END
2.0000000e-01	6.7021385e-02	END	END
3.0000001e-01	6.8424061e-02	END	END
4.0000001e-01	7.0014723e-02	END	END
5.0000000e-01	7.1894437e-02	END	END
6.0000002e-01	7.3935896e-02	END	END
6.9999999e-01	7.6190643e-02	END	END
8.0000001e-01	7.8653574e-02	END	END
8.9999998e-01	8.1298791e-02	END	END
1.0000000e+00	8.4094398e-02	END	END
1.1000000e+00	8.7044038e-02	END	END
1.2000000e+00	9.0140410e-02	END	END
1.3000000e+00	9.3372665e-02	END	END
1.4000000e+00	9.6748933e-02	END	END
1.5000000e+00	1.0044368e-01	END	END
1.6000000e+00	1.0463358e-01	END	END
1.7000000e+00	1.0950310e-01	END	END
1.8000000e+00	1.1518674e-01	END	END
1.9000000e+00	1.2167581e-01	END	END
2.0000000e+00	1.2896065e-01	END	END
2.0999999e+00	1.3707520e-01	END	END
2.2000000e+00	1.4611912e-01	END	END
2.3000000e+00	1.5609092e-01	END	END
2.4000001e+00	1.6684084e-01	END	END
2.5000000e+00	1.7817220e-01	END	END
2.5999999e+00	1.8995208e-01	END	END
2.7000000e+00	2.0199464e-01	END	END
2.8000000e+00	2.1408658e-01	END	END
2.9000001e+00	2.2629744e-01	END	END
3.0000000e+00	2.3868503e-01	END	END
3.0999999e+00	2.5106257e-01	END	END
3.2000000e+00	2.6338640e-01	END	END
3.3000000e+00	2.7582648e-01	END	END
3.4000001e+00	2.8857324e-01	END	END
3.5000000e+00	3.0164585e-01	END	END
3.5999999e+00	3.1481832e-01	END	END
3.7000000e+00	3.2794163e-01	END	END
3.8000000e+00	3.4110361e-01	END	END
3.9000001e+00	3.5430637e-01	END	END
4.0000000e+00	3.6757544e-01	END	END
4.0999999e+00	3.8086784e-01	END	END
4.1999998e+00	3.9420739e-01	END	END
4.3000002e+00	4.0761232e-01	END	END
4.4000001e+00	4.2108867e-01	END	END
4.5000000e+00	4.3464649e-01	END	END
4.5999999e+00	4.4830951e-01	END	END
4.6999998e+00	4.6226203e-01	END	END
4.8000002e+00	4.7690353e-01	END	END
4.9000001e+00	4.9283165e-01	END	END
5.0000000e+00	5.1080257e-01	END	END
5.0999999e+00	5.3054291e-01	END	END
5.1999998e+00	5.4973257e-01	END	END
5.3000002e+00	5.6714636e-01	END	END
5.4000001e+00	5.8257753e-01	END	END
5.5000000e+00	5.9629953e-01	END	END
5.5999999e+00	6.0887778e-01	END	END
5.6999998e+00	6.2079614e-01	END	END
5.8000002e+00	6.3222474e-01	END	END
