# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:17:29
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Power [W]	Tip Speed Ratio [-]	Power [W]
1.0000000e-10	3.1945390e-06	1.0000000e-10	3.1945390e-06
1.0000000e-01	3.3935195e+03	END	END
2.0000000e-01	6.8963018e+03	END	END
3.0000001e-01	1.0549765e+04	END	END
4.0000001e-01	1.4376205e+04	END	END
5.0000000e-01	1.8399488e+04	END	END
6.0000002e-01	2.2650539e+04	END	END
6.9999999e-01	2.7139596e+04	END	END
8.0000001e-01	3.1902207e+04	END	END
8.9999998e-01	3.6984496e+04	END	END
1.0000000e+00	4.2375996e+04	END	END
1.1000000e+00	4.8085473e+04	END	END
1.2000000e+00	5.4167473e+04	END	END
1.3000000e+00	6.0667465e+04	END	END
1.4000000e+00	6.7818859e+04	END	END
1.5000000e+00	7.6745391e+04	END	END
1.6000000e+00	8.8697805e+04	END	END
1.7000000e+00	1.0494233e+05	END	END
1.8000000e+00	1.2635788e+05	END	END
1.9000000e+00	1.5285656e+05	END	END
2.0000000e+00	1.8433219e+05	END	END
2.0999999e+00	2.2128311e+05	END	END
2.2000000e+00	2.6484138e+05	END	END
2.3000000e+00	3.1550641e+05	END	END
2.4000001e+00	3.7258706e+05	END	END
2.5000000e+00	4.3499763e+05	END	END
2.5999999e+00	5.0200819e+05	END	END
2.7000000e+00	5.7250125e+05	END	END
2.8000000e+00	6.4489988e+05	END	END
2.9000001e+00	7.1959944e+05	END	END
3.0000000e+00	7.9689406e+05	END	END
3.0999999e+00	8.7509475e+05	END	END
3.2000000e+00	9.5369725e+05	END	END
3.3000000e+00	1.0340210e+06	END	END
3.4000001e+00	1.1175044e+06	END	END
3.5000000e+00	1.2042719e+06	END	END
3.5999999e+00	1.2930359e+06	END	END
3.7000000e+00	1.3828795e+06	END	END
3.8000000e+00	1.4746373e+06	END	END
3.9000001e+00	1.5682290e+06	END	END
4.0000000e+00	1.6640094e+06	END	END
4.0999999e+00	1.7618755e+06	END	END
4.1999998e+00	1.8620414e+06	END	END
4.3000002e+00	1.9643248e+06	END	END
4.4000001e+00	2.0669675e+06	END	END
4.5000000e+00	2.1694520e+06	END	END
4.5999999e+00	2.2703138e+06	END	END
4.6999998e+00	2.3683218e+06	END	END
4.8000002e+00	2.4638765e+06	END	END
4.9000001e+00	2.5601208e+06	END	END
5.0000000e+00	2.6620678e+06	END	END
5.0999999e+00	2.7716415e+06	END	END
5.1999998e+00	2.8763278e+06	END	END
5.3000002e+00	2.9681040e+06	END	END
5.4000001e+00	3.0442688e+06	END	END
5.5000000e+00	3.1063515e+06	END	END
5.5999999e+00	3.1592140e+06	END	END
5.6999998e+00	3.2060573e+06	END	END
5.8000002e+00	3.2488165e+06	END	END
5.9000001e+00	3.2886460e+06	END	END
6.0000000e+00	3.3261498e+06	END	END
6.0999999e+00	3.3612988e+06	END	END
6.1999998e+00	3.3940423e+06	END	END
6.3000002e+00	3.4250460e+06	END	END
6.4000001e+00	3.4545458e+06	END	END
6.5000000e+00	3.4826450e+06	END	END
6.5999999e+00	3.5090448e+06	END	END
6.6999998e+00	3.5335478e+06	END	END
6.8000002e+00	3.5559525e+06	END	END
6.9000001e+00	3.5759120e+06	END	END
7.0000000e+00	3.5902273e+06	END	END
7.0999999e+00	3.6011165e+06	END	END
7.1999998e+00	3.6103465e+06	END	END
7.3000002e+00	3.6179868e+06	END	END
7.4000001e+00	3.6239160e+06	END	END
7.5000000e+00	3.6284030e+06	END	END
7.5999999e+00	3.6314103e+06	END	END
7.6999998e+00	3.6324578e+06	END	END
7.8000002e+00	3.6319275e+06	END	END
7.9000001e+00	3.6301945e+06	END	END
8.0000000e+00	3.6272330e+06	END	END
8.1000004e+00	3.6230138e+06	END	END
8.1999998e+00	3.6176890e+06	END	END
8.3000002e+00	3.6113280e+06	END	END
8.3999996e+00	3.6039890e+06	END	END
8.5000000e+00	3.5956200e+06	END	END
8.6000004e+00	3.5862093e+06	END	END
8.6999998e+00	3.5758473e+06	END	END
8.8000002e+00	3.5645298e+06	END	END
8.8999996e+00	3.5523020e+06	END	END
9.0000000e+00	3.5392300e+06	END	END
9.1000004e+00	3.5254298e+06	END	END
9.1999998e+00	3.5109563e+06	END	END
9.3000002e+00	3.4958178e+06	END	END
9.3999996e+00	3.4801250e+06	END	END
9.5000000e+00	3.4638890e+06	END	END
9.6000004e+00	3.4471335e+06	END	END
9.6999998e+00	3.4298985e+06	END	END
9.8000002e+00	3.4122960e+06	END	END
9.8999996e+00	3.3941873e+06	END	END
1.0000000e+01	3.3756090e+06	END	END
1.0100000e+01	3.3565113e+06	END	END
1.0200000e+01	3.3368958e+06	END	END
1.0300000e+01	3.3167500e+06	END	END
1.0400000e+01	3.2959888e+06	END	END
1.0500000e+01	3.2746788e+06	END	END
1.0600000e+01	3.2528165e+06	END	END
1.0700000e+01	3.2303515e+06	END	END
1.0800000e+01	3.2072793e+06	END	END
1.0900000e+01	3.1836123e+06	END	END
1.1000000e+01	3.1593963e+06	END	END
1.1100000e+01	3.1346238e+06	END	END
1.1200000e+01	3.1092505e+06	END	END
1.1300000e+01	3.0832955e+06	END	END
1.1400000e+01	3.0567495e+06	END	END
1.1500000e+01	3.0295985e+06	END	END
1.1600000e+01	3.0017385e+06	END	END
1.1700000e+01	2.9732280e+06	END	END
1.1800000e+01	2.9441200e+06	END	END
1.1900000e+01	2.9144093e+06	END	END
1.2000000e+01	2.8840758e+06	END	END
1.2100000e+01	2.8531093e+06	END	END
1.2200000e+01	2.8215440e+06	END	END
1.2300000e+01	2.7893700e+06	END	END
1.2400000e+01	2.7565725e+06	END	END
1.2500000e+01	2.7232090e+06	END	END
1.2600000e+01	2.6893313e+06	END	END
1.2700000e+01	2.6548445e+06	END	END
1.2800000e+01	2.6197298e+06	END	END
1.2900000e+01	2.5839973e+06	END	END
1.3000000e+01	2.5476458e+06	END	END
1.3100000e+01	2.5106885e+06	END	END
1.3200000e+01	2.4731060e+06	END	END
1.3300000e+01	2.4348670e+06	END	END
1.3400000e+01	2.3959958e+06	END	END
1.3500000e+01	2.3565085e+06	END	END
1.3600000e+01	2.3163428e+06	END	END
1.3700000e+01	2.2755290e+06	END	END
1.3800000e+01	2.2340575e+06	END	END
1.3900000e+01	2.1919163e+06	END	END
1.4000000e+01	2.1490815e+06	END	END
1.4100000e+01	2.1055820e+06	END	END
1.4200000e+01	2.0614146e+06	END	END
1.4300000e+01	2.0165611e+06	END	END
1.4400000e+01	1.9709675e+06	END	END
1.4500000e+01	1.9246954e+06	END	END
1.4600000e+01	1.8777404e+06	END	END
1.4700000e+01	1.8300751e+06	END	END
1.4800000e+01	1.7816584e+06	END	END
1.4900000e+01	1.7325195e+06	END	END
1.5000000e+01	1.6826780e+06	END	END
1.5100000e+01	1.6320978e+06	END	END
1.5200000e+01	1.5807059e+06	END	END
1.5300000e+01	1.5284970e+06	END	END
1.5400000e+01	1.4755556e+06	END	END
1.5500000e+01	1.4217869e+06	END	END
1.5600000e+01	1.3672670e+06	END	END
1.5700000e+01	1.3119895e+06	END	END
1.5800000e+01	1.2558930e+06	END	END
1.5900000e+01	1.1990088e+06	END	END
1.6000000e+01	1.1413470e+06	END	END
1.6100000e+01	1.0828928e+06	END	END
1.6200001e+01	1.0236154e+06	END	END
1.6299999e+01	9.6355144e+05	END	END
1.6400000e+01	9.0271006e+05	END	END
1.6500000e+01	8.4100694e+05	END	END
1.6600000e+01	7.7848831e+05	END	END
1.6700001e+01	7.1517175e+05	END	END
1.6799999e+01	6.5103306e+05	END	END
1.6900000e+01	5.8607100e+05	END	END
1.7000000e+01	5.2024506e+05	END	END
1.7100000e+01	4.5358647e+05	END	END
1.7200001e+01	3.8609772e+05	END	END
1.7299999e+01	3.1779016e+05	END	END
1.7400000e+01	2.4867269e+05	END	END
1.7500000e+01	1.7866850e+05	END	END
1.7600000e+01	1.0778042e+05	END	END
1.7700001e+01	3.6040969e+04	END	END
1.7799999e+01	-3.6588566e+04	END	END
1.7900000e+01	-1.1010295e+05	END	END
