# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:21
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power [W]	Windspeed [m/s]	Power [W]
3.0000000e+00	0.0000000e+00	3.0000000e+00	0.0000000e+00
3.0999999e+00	0.0000000e+00	END	END
3.2000000e+00	0.0000000e+00	END	END
3.3000000e+00	0.0000000e+00	END	END
3.4000001e+00	0.0000000e+00	END	END
3.5000000e+00	0.0000000e+00	END	END
3.5999999e+00	0.0000000e+00	END	END
3.7000000e+00	0.0000000e+00	END	END
3.8000000e+00	0.0000000e+00	END	END
3.9000001e+00	0.0000000e+00	END	END
4.0000000e+00	0.0000000e+00	END	END
4.0999999e+00	0.0000000e+00	END	END
4.1999998e+00	0.0000000e+00	END	END
4.3000002e+00	0.0000000e+00	END	END
4.4000001e+00	0.0000000e+00	END	END
4.5000000e+00	4.3999301e+02	END	END
4.5999999e+00	2.7066699e+04	END	END
4.6999998e+00	5.4826359e+04	END	END
4.8000002e+00	8.3697250e+04	END	END
4.9000001e+00	1.1372406e+05	END	END
5.0000000e+00	1.4490141e+05	END	END
5.0999999e+00	1.7727731e+05	END	END
5.1999998e+00	2.1084431e+05	END	END
5.3000002e+00	2.4562333e+05	END	END
5.4000001e+00	2.8162578e+05	END	END
5.5000000e+00	3.1887491e+05	END	END
5.5999999e+00	3.5746588e+05	END	END
5.6999998e+00	3.9740022e+05	END	END
5.8000002e+00	4.3864656e+05	END	END
5.9000001e+00	4.8129109e+05	END	END
6.0000000e+00	5.2535581e+05	END	END
6.0999999e+00	5.7084419e+05	END	END
6.1999998e+00	6.1777838e+05	END	END
6.3000002e+00	6.6619013e+05	END	END
6.4000001e+00	7.1609844e+05	END	END
6.5000000e+00	7.6754775e+05	END	END
6.5999999e+00	8.2053025e+05	END	END
6.6999998e+00	8.7505581e+05	END	END
6.8000002e+00	9.3112913e+05	END	END
6.9000001e+00	9.8873763e+05	END	END
7.0000000e+00	1.0478918e+06	END	END
7.0999999e+00	1.1086235e+06	END	END
7.1999998e+00	1.1709850e+06	END	END
7.3000002e+00	1.2349964e+06	END	END
7.4000001e+00	1.3006790e+06	END	END
7.5000000e+00	1.3680245e+06	END	END
7.5999999e+00	1.4370409e+06	END	END
7.6999998e+00	1.5077898e+06	END	END
7.8000002e+00	1.5802209e+06	END	END
7.9000001e+00	1.6544105e+06	END	END
8.0000000e+00	1.7303583e+06	END	END
8.1000004e+00	1.8081160e+06	END	END
8.1999998e+00	1.8877256e+06	END	END
8.3000002e+00	1.9692234e+06	END	END
8.3999996e+00	2.0526419e+06	END	END
8.5000000e+00	2.1379525e+06	END	END
8.6000004e+00	2.2251545e+06	END	END
8.6999998e+00	2.3142145e+06	END	END
8.8000002e+00	2.4049778e+06	END	END
8.8999996e+00	2.4976003e+06	END	END
9.0000000e+00	2.5919863e+06	END	END
9.1000004e+00	2.6881688e+06	END	END
9.1999998e+00	2.7860585e+06	END	END
9.3000002e+00	2.8855755e+06	END	END
9.3999996e+00	2.9867118e+06	END	END
9.5000000e+00	3.0894660e+06	END	END
9.6000004e+00	3.1938673e+06	END	END
9.6999998e+00	3.2998788e+06	END	END
9.8000002e+00	3.4074650e+06	END	END
9.8999996e+00	3.5166233e+06	END	END
1.0000000e+01	3.6273953e+06	END	END
