# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:15:02
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Thrust [N]	Tip Speed Ratio [-]	Thrust [N]
1.0000000e-10	4.7219766e+04	1.0000000e-10	4.7219766e+04
1.0000000e-01	5.0253703e+04	END	END
2.0000000e-01	5.1185914e+04	END	END
3.0000001e-01	5.2257176e+04	END	END
4.0000001e-01	5.3472000e+04	END	END
5.0000000e-01	5.4907586e+04	END	END
6.0000002e-01	5.6466699e+04	END	END
6.9999999e-01	5.8188707e+04	END	END
8.0000001e-01	6.0069707e+04	END	END
8.9999998e-01	6.2089926e+04	END	END
1.0000000e+00	6.4225000e+04	END	END
1.1000000e+00	6.6477719e+04	END	END
1.2000000e+00	6.8842492e+04	END	END
1.3000000e+00	7.1311047e+04	END	END
1.4000000e+00	7.3889594e+04	END	END
1.5000000e+00	7.6711359e+04	END	END
1.6000000e+00	7.9911297e+04	END	END
1.7000000e+00	8.3630266e+04	END	END
1.8000000e+00	8.7971000e+04	END	END
1.9000000e+00	9.2926867e+04	END	END
2.0000000e+00	9.8490484e+04	END	END
2.0999999e+00	1.0468777e+05	END	END
2.2000000e+00	1.1159484e+05	END	END
2.3000000e+00	1.1921055e+05	END	END
2.4000001e+00	1.2742053e+05	END	END
2.5000000e+00	1.3607459e+05	END	END
2.5999999e+00	1.4507117e+05	END	END
2.7000000e+00	1.5426838e+05	END	END
2.8000000e+00	1.6350330e+05	END	END
2.9000001e+00	1.7282903e+05	END	END
3.0000000e+00	1.8228975e+05	END	END
3.0999999e+00	1.9174280e+05	END	END
3.2000000e+00	2.0115481e+05	END	END
3.3000000e+00	2.1065561e+05	END	END
3.4000001e+00	2.2039063e+05	END	END
3.5000000e+00	2.3037452e+05	END	END
3.5999999e+00	2.4043464e+05	END	END
3.7000000e+00	2.5045723e+05	END	END
3.8000000e+00	2.6050941e+05	END	END
3.9000001e+00	2.7059266e+05	END	END
4.0000000e+00	2.8072659e+05	END	END
4.0999999e+00	2.9087834e+05	END	END
4.1999998e+00	3.0106609e+05	END	END
4.3000002e+00	3.1130378e+05	END	END
4.4000001e+00	3.2159597e+05	END	END
4.5000000e+00	3.3195044e+05	END	END
4.5999999e+00	3.4238522e+05	END	END
4.6999998e+00	3.5304109e+05	END	END
4.8000002e+00	3.6422319e+05	END	END
4.9000001e+00	3.7638791e+05	END	END
5.0000000e+00	3.9011272e+05	END	END
5.0999999e+00	4.0518894e+05	END	END
5.1999998e+00	4.1984459e+05	END	END
5.3000002e+00	4.3314391e+05	END	END
5.4000001e+00	4.4492906e+05	END	END
5.5000000e+00	4.5540891e+05	END	END
5.5999999e+00	4.6501522e+05	END	END
5.6999998e+00	4.7411763e+05	END	END
5.8000002e+00	4.8284591e+05	END	END
5.9000001e+00	4.9129200e+05	END	END
6.0000000e+00	4.9944169e+05	END	END
6.0999999e+00	5.0733000e+05	END	END
6.1999998e+00	5.1494819e+05	END	END
6.3000002e+00	5.2236159e+05	END	END
6.4000001e+00	5.2945963e+05	END	END
6.5000000e+00	5.3626538e+05	END	END
6.5999999e+00	5.4288425e+05	END	END
6.6999998e+00	5.4932600e+05	END	END
6.8000002e+00	5.5561769e+05	END	END
6.9000001e+00	5.6175844e+05	END	END
7.0000000e+00	5.6751744e+05	END	END
7.0999999e+00	5.7306469e+05	END	END
7.1999998e+00	5.7849550e+05	END	END
7.3000002e+00	5.8378794e+05	END	END
7.4000001e+00	5.8898494e+05	END	END
7.5000000e+00	5.9408575e+05	END	END
7.5999999e+00	5.9906850e+05	END	END
7.6999998e+00	6.0381569e+05	END	END
7.8000002e+00	6.0843575e+05	END	END
7.9000001e+00	6.1296031e+05	END	END
8.0000000e+00	6.1740125e+05	END	END
8.1000004e+00	6.2176219e+05	END	END
8.1999998e+00	6.2605875e+05	END	END
8.3000002e+00	6.3029225e+05	END	END
8.3999996e+00	6.3446506e+05	END	END
8.5000000e+00	6.3857425e+05	END	END
8.6000004e+00	6.4261813e+05	END	END
8.6999998e+00	6.4660175e+05	END	END
8.8000002e+00	6.5051763e+05	END	END
8.8999996e+00	6.5436988e+05	END	END
9.0000000e+00	6.5817019e+05	END	END
9.1000004e+00	6.6192319e+05	END	END
9.1999998e+00	6.6564213e+05	END	END
9.3000002e+00	6.6933856e+05	END	END
9.3999996e+00	6.7301250e+05	END	END
9.5000000e+00	6.7666169e+05	END	END
9.6000004e+00	6.8029344e+05	END	END
9.6999998e+00	6.8390556e+05	END	END
9.8000002e+00	6.8749344e+05	END	END
9.8999996e+00	6.9105306e+05	END	END
1.0000000e+01	6.9458888e+05	END	END
1.0100000e+01	6.9810069e+05	END	END
1.0200000e+01	7.0158338e+05	END	END
1.0300000e+01	7.0504531e+05	END	END
1.0400000e+01	7.0848544e+05	END	END
1.0500000e+01	7.1190756e+05	END	END
1.0600000e+01	7.1531131e+05	END	END
1.0700000e+01	7.1869519e+05	END	END
1.0800000e+01	7.2206425e+05	END	END
1.0900000e+01	7.2541706e+05	END	END
1.1000000e+01	7.2875363e+05	END	END
1.1100000e+01	7.3207006e+05	END	END
1.1200000e+01	7.3536456e+05	END	END
1.1300000e+01	7.3864269e+05	END	END
1.1400000e+01	7.4190288e+05	END	END
1.1500000e+01	7.4514538e+05	END	END
1.1600000e+01	7.4836150e+05	END	END
