# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:42
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Thrust [N]	Windspeed [m/s]	Thrust [N]
3.0000000e+00	9.8054063e+04	3.0000000e+00	9.8054063e+04
3.0999999e+00	1.0316175e+05	END	END
3.2000000e+00	1.0866545e+05	END	END
3.3000000e+00	1.1448010e+05	END	END
3.4000001e+00	1.2047320e+05	END	END
3.5000000e+00	1.2651993e+05	END	END
3.5999999e+00	1.3263808e+05	END	END
3.7000000e+00	1.3880994e+05	END	END
3.8000000e+00	1.4486992e+05	END	END
3.9000001e+00	1.5081508e+05	END	END
4.0000000e+00	1.5664347e+05	END	END
4.0999999e+00	1.6255373e+05	END	END
4.1999998e+00	1.6853323e+05	END	END
4.3000002e+00	1.7458653e+05	END	END
4.4000001e+00	1.8071502e+05	END	END
4.5000000e+00	1.8691477e+05	END	END
4.5999999e+00	1.9318827e+05	END	END
4.6999998e+00	1.9953427e+05	END	END
4.8000002e+00	2.0595177e+05	END	END
4.9000001e+00	2.1244127e+05	END	END
5.0000000e+00	2.1900169e+05	END	END
5.0999999e+00	2.2563153e+05	END	END
5.1999998e+00	2.3232803e+05	END	END
5.3000002e+00	2.3909148e+05	END	END
5.4000001e+00	2.4591808e+05	END	END
5.5000000e+00	2.5280719e+05	END	END
5.5999999e+00	2.5976292e+05	END	END
5.6999998e+00	2.6678325e+05	END	END
5.8000002e+00	2.7386197e+05	END	END
5.9000001e+00	2.8100222e+05	END	END
6.0000000e+00	2.8820531e+05	END	END
6.0999999e+00	2.9546550e+05	END	END
6.1999998e+00	3.0278234e+05	END	END
6.3000002e+00	3.1015581e+05	END	END
6.4000001e+00	3.1758859e+05	END	END
6.5000000e+00	3.2508050e+05	END	END
6.5999999e+00	3.3263125e+05	END	END
6.6999998e+00	3.4023991e+05	END	END
6.8000002e+00	3.4790631e+05	END	END
6.9000001e+00	3.5562738e+05	END	END
7.0000000e+00	3.6339566e+05	END	END
7.0999999e+00	3.7121209e+05	END	END
7.1999998e+00	3.7908247e+05	END	END
7.3000002e+00	3.8700291e+05	END	END
7.4000001e+00	3.9497209e+05	END	END
7.5000000e+00	4.0299600e+05	END	END
7.5999999e+00	4.1107159e+05	END	END
7.6999998e+00	4.1919966e+05	END	END
7.8000002e+00	4.2737381e+05	END	END
7.9000001e+00	4.3559575e+05	END	END
8.0000000e+00	4.4385378e+05	END	END
8.1000004e+00	4.5215556e+05	END	END
8.1999998e+00	4.6050341e+05	END	END
8.3000002e+00	4.6888966e+05	END	END
8.3999996e+00	4.7732178e+05	END	END
8.5000000e+00	4.8580734e+05	END	END
