# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:14:42
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Torque [Nm]	Tip Speed Ratio [-]	Torque [Nm]
1.0000000e-10	2.0125595e+05	1.0000000e-10	2.0125595e+05
1.0000000e-01	2.1379172e+05	END	END
2.0000000e-01	2.1723350e+05	END	END
3.0000001e-01	2.2154506e+05	END	END
4.0000001e-01	2.2642523e+05	END	END
5.0000000e-01	2.3183355e+05	END	END
6.0000002e-01	2.3783067e+05	END	END
6.9999999e-01	2.4425636e+05	END	END
8.0000001e-01	2.5122989e+05	END	END
8.9999998e-01	2.5889147e+05	END	END
1.0000000e+00	2.6696878e+05	END	END
1.1000000e+00	2.7539863e+05	END	END
1.2000000e+00	2.8437922e+05	END	END
1.3000000e+00	2.9400384e+05	END	END
1.4000000e+00	3.0518488e+05	END	END
1.5000000e+00	3.2233063e+05	END	END
1.6000000e+00	3.4924759e+05	END	END
1.7000000e+00	3.8890391e+05	END	END
1.8000000e+00	4.4225256e+05	END	END
1.9000000e+00	5.0684019e+05	END	END
2.0000000e+00	5.8064644e+05	END	END
2.0999999e+00	6.6384931e+05	END	END
2.2000000e+00	7.5840938e+05	END	END
2.3000000e+00	8.6421319e+05	END	END
2.4000001e+00	9.7804106e+05	END	END
2.5000000e+00	1.0961940e+06	END	END
2.5999999e+00	1.2164045e+06	END	END
2.7000000e+00	1.3358363e+06	END	END
2.8000000e+00	1.4510248e+06	END	END
2.9000001e+00	1.5632678e+06	END	END
3.0000000e+00	1.6734775e+06	END	END
3.0999999e+00	1.7784184e+06	END	END
3.2000000e+00	1.8775914e+06	END	END
3.3000000e+00	1.9740400e+06	END	END
3.4000001e+00	2.0706699e+06	END	END
3.5000000e+00	2.1676895e+06	END	END
3.5999999e+00	2.2628128e+06	END	END
3.7000000e+00	2.3546328e+06	END	END
3.8000000e+00	2.4447935e+06	END	END
3.9000001e+00	2.5332930e+06	END	END
4.0000000e+00	2.6208148e+06	END	END
4.0999999e+00	2.7072720e+06	END	END
4.1999998e+00	2.7930620e+06	END	END
4.3000002e+00	2.8779643e+06	END	END
4.4000001e+00	2.9595218e+06	END	END
4.5000000e+00	3.0372330e+06	END	END
4.5999999e+00	3.1093428e+06	END	END
4.6999998e+00	3.1745590e+06	END	END
4.8000002e+00	3.2338378e+06	END	END
4.9000001e+00	3.2915838e+06	END	END
5.0000000e+00	3.3542055e+06	END	END
5.0999999e+00	3.4237925e+06	END	END
5.1999998e+00	3.4847818e+06	END	END
5.3000002e+00	3.5281238e+06	END	END
5.4000001e+00	3.5516470e+06	END	END
5.5000000e+00	3.5581843e+06	END	END
5.5999999e+00	3.5541158e+06	END	END
5.6999998e+00	3.5435370e+06	END	END
5.8000002e+00	3.5288870e+06	END	END
5.9000001e+00	3.5116050e+06	END	END
6.0000000e+00	3.4924570e+06	END	END
6.0999999e+00	3.4715053e+06	END	END
6.1999998e+00	3.4487848e+06	END	END
6.3000002e+00	3.4250460e+06	END	END
6.4000001e+00	3.4005685e+06	END	END
6.5000000e+00	3.3754865e+06	END	END
6.5999999e+00	3.3495428e+06	END	END
6.6999998e+00	3.3225898e+06	END	END
6.8000002e+00	3.2944853e+06	END	END
6.9000001e+00	3.2649633e+06	END	END
7.0000000e+00	3.2312045e+06	END	END
7.0999999e+00	3.1953570e+06	END	END
7.1999998e+00	3.1590533e+06	END	END
7.3000002e+00	3.1223720e+06	END	END
7.4000001e+00	3.0852258e+06	END	END
7.5000000e+00	3.0478585e+06	END	END
7.5999999e+00	3.0102480e+06	END	END
7.6999998e+00	2.9720108e+06	END	END
7.8000002e+00	2.9334800e+06	END	END
7.9000001e+00	2.8949653e+06	END	END
8.0000000e+00	2.8564460e+06	END	END
