TSR, THRUST (N), TORQUE (NM), PRODUCED POWER (W), C_P
0.05,2.73025,0.0559081,0.123146,0.00124197
0.0899497,2.73113,0.0562207,0.222777,0.00224679
0.129899,2.73444,0.0566344,0.324087,0.00326854
0.169849,2.74,0.0571564,0.427664,0.00431315
0.209799,2.74733,0.0577223,0.533484,0.00538039
0.249749,2.75722,0.058438,0.642944,0.00648433
0.289698,2.76043,0.059038,0.753446,0.00759879
0.329648,2.77416,0.059923,0.870199,0.00877628
0.369598,2.78944,0.0608421,0.990622,0.0099908
0.409548,2.80656,0.0618578,1.11602,0.0112555
0.449497,2.82575,0.0629958,1.24742,0.0125807
0.489447,2.84593,0.0641254,1.38264,0.0139445
0.529397,2.86826,0.065412,1.5255,0.0153853
0.569347,2.89197,0.0667527,1.67425,0.0168854
0.609296,2.91689,0.0681309,1.82872,0.0184433
0.649246,2.94363,0.0696526,1.99214,0.0200915
0.689196,2.97149,0.0712062,2.1619,0.0218035
0.729146,3.00044,0.0728089,2.33869,0.0235866
0.769095,3.03095,0.0745338,2.52527,0.0254683
0.809045,3.06271,0.0763429,2.72092,0.0274415
0.848995,3.0952,0.0781392,2.92246,0.0294741
0.888945,3.12907,0.0800535,3.13494,0.0316171
0.928894,3.16422,0.0820849,3.35895,0.0338763
0.968844,3.20022,0.0841288,3.59065,0.036213
1.00879,3.2371,0.0862063,3.83103,0.0386374
1.04874,3.26266,0.0881806,4.07396,0.0410874
1.08869,3.29113,0.0902811,4.32989,0.0436686
1.12864,3.33114,0.0925971,4.60392,0.0464323
1.16859,3.37195,0.0949515,4.88809,0.0492982
1.20854,3.414,0.0974248,5.18687,0.0523116
1.24849,3.46794,0.100166,5.5091,0.0555614
1.28844,3.5129,0.102735,5.83119,0.0588098
1.32839,3.54263,0.104931,6.14051,0.0619294
1.36834,3.58771,0.107508,6.48049,0.0653582
1.40829,3.63384,0.11018,6.83549,0.0689385
1.44824,3.68103,0.112938,7.20534,0.0726686
1.48819,3.7132,0.115427,7.5673,0.0763192
1.52814,3.74461,0.117894,7.9365,0.0800426
1.56809,3.7968,0.120879,8.35015,0.0842145
1.60804,3.78756,0.122604,8.68511,0.0875927
1.64799,3.74068,0.123358,8.9556,0.0903206
1.68794,3.67397,0.123534,9.1858,0.0926423
1.72789,3.62698,0.124078,9.44466,0.095253
1.76784,3.58743,0.124635,9.70639,0.0978927
1.80779,3.54422,0.125075,9.96073,0.100458
1.84774,3.8245,0.133165,10.8394,0.109319
1.88769,3.89177,0.136285,11.3332,0.1143
1.92764,3.9751,0.139973,11.8863,0.119877
1.96759,4.06506,0.14387,12.4704,0.125769
2.00754,4.16136,0.147989,13.0878,0.131995
2.04749,4.21587,0.150886,13.6095,0.137257
2.08744,4.31947,0.155254,14.2768,0.143986
2.12739,4.38071,0.158362,14.8413,0.14968
2.16734,4.44105,0.161366,15.4068,0.155384
2.20729,4.50362,0.164486,15.9941,0.161307
2.24724,4.62099,0.169307,16.7609,0.16904
2.28719,4.6637,0.172261,17.3565,0.175047
2.32714,4.67426,0.173179,17.7538,0.179054
2.36709,4.743,0.176167,18.3701,0.18527
2.40704,4.81329,0.179176,18.9993,0.191615
2.44698,4.87266,0.181926,19.611,0.197784
2.48693,4.87748,0.182022,19.9417,0.20112
2.52688,4.94983,0.184623,20.5516,0.207271
2.56683,5.02296,0.187124,21.1593,0.213399
2.60678,5.01903,0.186211,21.3838,0.215664
2.64673,5.09078,0.188282,21.953,0.221404
2.68668,5.24019,0.193462,22.8975,0.23093
2.72663,5.22967,0.191731,23.0299,0.232266
2.76658,5.19136,0.188599,22.9857,0.23182
2.80653,5.33014,0.193393,23.9103,0.241145
2.84648,5.20598,0.186949,23.4426,0.236427
2.88643,5.28237,0.189862,24.142,0.243481
2.92638,5.2784,0.190492,24.5574,0.24767
2.96633,5.29397,0.192946,25.2132,0.254285
3.00628,5.51411,0.202045,26.7579,0.269864
3.04623,5.56082,0.208267,27.9484,0.28187
3.08618,5.88373,0.21876,29.7415,0.299954
3.12613,6.20947,0.228273,31.4367,0.317051
3.16608,6.52568,0.236445,32.9781,0.332597
3.20603,6.75178,0.240582,33.9786,0.342687
3.24598,7.05368,0.245533,35.1099,0.354097
3.28593,7.20517,0.245254,35.5017,0.358048
3.32588,7.33044,0.243756,35.7138,0.360187
3.36583,7.43833,0.241526,35.8121,0.361178
3.40578,7.48168,0.238663,35.8077,0.361134
3.44573,7.52315,0.235766,35.7878,0.360934
3.48568,7.56219,0.232836,35.7529,0.360582
3.52563,7.54408,0.229639,35.6661,0.359706
3.56558,7.58192,0.226767,35.6192,0.359233
3.60553,7.61787,0.223886,35.5607,0.358643
3.64548,7.63338,0.220696,35.4424,0.35745
3.68543,7.66507,0.21782,35.3638,0.356657
3.72538,7.69435,0.214953,35.2766,0.355778
3.76533,7.72164,0.212094,35.1808,0.354811
3.80528,7.7468,0.209229,35.0737,0.353732
3.84523,7.76932,0.206349,34.9541,0.352526
3.88518,7.72437,0.20316,34.7714,0.350683
3.92513,7.74631,0.200388,34.6497,0.349455
3.96508,7.76672,0.197608,34.5168,0.348115
4.00503,7.78548,0.19483,34.3743,0.346678
4.04497,7.80252,0.192042,34.2204,0.345126
4.08492,7.81755,0.189241,34.0545,0.343453
4.12487,7.82959,0.186414,33.8738,0.34163
4.16482,7.76659,0.183263,33.6237,0.339108
4.20477,7.77893,0.180553,33.4443,0.337299
4.24472,7.78957,0.177842,33.255,0.33539
4.28467,7.79835,0.175118,33.0539,0.333361
4.32462,7.80471,0.172358,32.8362,0.331166
4.36457,7.70532,0.168783,32.4522,0.327293
4.40452,7.71126,0.166093,32.2273,0.325024
4.44447,7.7154,0.163357,31.9839,0.32257
4.48442,7.71729,0.160552,31.7173,0.319881
4.52437,7.71536,0.157624,31.4162,0.316844
4.56432,7.62693,0.154305,31.0264,0.312913
4.60427,7.6258,0.151562,30.7415,0.310039
4.64422,7.6221,0.148863,30.456,0.30716
4.68417,7.49854,0.145262,29.975,0.30231
4.72412,7.49405,0.142744,29.7066,0.299602
4.76407,7.48711,0.140206,29.4252,0.296765
4.80402,7.47552,0.137597,29.1197,0.293683
4.84397,7.37069,0.134588,28.7197,0.28965
4.88392,7.3601,0.13212,28.4257,0.286684
4.92387,7.24584,0.129005,27.9826,0.282215
4.96382,7.20911,0.126206,27.5976,0.278333
5.00377,7.19366,0.123763,27.2812,0.275141
5.04372,7.0762,0.120777,26.8355,0.270646
5.08367,7.05987,0.118429,26.5222,0.267486
5.12362,6.93775,0.115465,26.0617,0.262842
5.16357,6.89278,0.112751,25.6474,0.258664
5.20352,6.76774,0.109858,25.1828,0.253978
5.24347,6.74842,0.10768,24.8731,0.250854
5.28342,6.62174,0.104888,24.4126,0.24621
5.32337,6.60079,0.102789,24.1051,0.243109
5.36332,6.4737,0.10012,23.6554,0.238573
5.40327,6.45108,0.0980976,23.3501,0.235495
5.44322,6.32485,0.0955737,22.9175,0.231132
5.48317,6.30039,0.0936184,22.6135,0.228065
5.52312,6.14683,0.090777,22.0869,0.222754
5.56307,6.12023,0.0888822,21.7823,0.219683
5.60302,5.99959,0.0867096,21.4024,0.215852
5.64296,5.87473,0.0844879,21.0028,0.211821
5.68291,5.8548,0.0828946,20.7525,0.209297
5.72286,5.73224,0.0808195,20.3753,0.205493
5.76281,5.71321,0.0793318,20.1399,0.203118
5.80276,5.68938,0.0777731,19.881,0.200507
5.84271,5.57523,0.0760131,19.5649,0.197319
5.88266,5.52288,0.0740839,19.1987,0.193626
5.92261,5.4093,0.0724133,18.8932,0.190545
5.96256,5.39117,0.0711192,18.6807,0.188402
6.00251,5.36849,0.0697637,18.4475,0.18605
6.04246,5.26266,0.0683493,18.1938,0.183491
6.08241,5.24514,0.0671526,17.9934,0.18147
6.12236,5.22257,0.065885,17.7697,0.179214
6.16231,5.08877,0.0641317,17.4097,0.175583
6.20226,5.0728,0.0630396,17.2241,0.173712
6.24221,5.05427,0.0619193,17.027,0.171724
6.28216,4.95503,0.060802,16.8268,0.169705
6.32211,4.94106,0.0598092,16.6573,0.167995
6.36206,4.92596,0.0588122,16.4831,0.166239
6.40201,4.82718,0.0577711,16.293,0.164321
6.44196,4.77954,0.0563099,15.98,0.161165
6.48191,4.76706,0.055414,15.8233,0.159584
6.52186,4.75391,0.0545189,15.6637,0.157974
6.56181,4.65857,0.0536256,15.5014,0.156337
6.60176,4.64824,0.0528138,15.3596,0.154908
6.64171,4.59984,0.0514189,15.0445,0.151729
6.68166,4.50386,0.050569,14.8848,0.150119
6.72161,4.49526,0.0498302,14.755,0.14881
6.76156,4.48654,0.0490973,14.6244,0.147493
6.80151,4.39015,0.0482856,14.4676,0.145912
6.84146,4.38303,0.047609,14.3487,0.144712
6.88141,4.33614,0.0463303,14.0448,0.141647
6.92136,4.23943,0.0455549,13.8899,0.140085
6.96131,4.23354,0.0449346,13.7799,0.138976
7.00126,4.18599,0.0436873,13.4743,0.135893
7.04121,4.08897,0.0429436,13.3205,0.134342
7.08116,4.08412,0.0423729,13.218,0.133309
7.12111,3.89691,0.0402843,12.6374,0.127453
7.16106,3.89292,0.0397567,12.5418,0.126489
7.20101,3.88895,0.0392329,12.4457,0.125519
7.24095,3.694,0.0370823,11.8287,0.119297
7.2809,3.69076,0.0365985,11.7388,0.11839
7.32085,3.6364,0.0353728,11.4079,0.115053
7.3608,3.53786,0.0346796,11.2454,0.113414
7.40075,3.48224,0.0334714,10.9125,0.110057
7.4407,3.38305,0.0327738,10.7427,0.108344
7.48065,3.37149,0.0322407,10.6247,0.107154
7.5206,3.16968,0.0300886,9.96846,0.100536
7.56055,3.16802,0.0297069,9.89431,0.0997878
7.6005,3.0095,0.0282009,9.44235,0.0952297
7.64045,3.0082,0.0278478,9.37311,0.0945314
7.6804,2.89495,0.0270032,9.13636,0.0921437
7.72035,2.89394,0.0266746,9.07214,0.091496
7.7603,2.73336,0.0251744,8.6062,0.0867968
7.80025,2.73261,0.0248713,8.54636,0.0861933
7.8402,2.5192,0.0226625,7.82725,0.0789408
7.88015,2.56597,0.0230534,8.00284,0.0807117
7.9201,2.28504,0.0200256,6.98698,0.0704663
7.96005,2.23608,0.0200112,7.0172,0.0707711
8,2.16824,0.0189616,6.68251,0.0673957
